"LOCATION","Country","SUBJECT","Subject","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","2002","2002","PER","Persons","3","Thousands",,,9815.265,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","2003","2003","PER","Persons","3","Thousands",,,9988.739,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","2004","2004","PER","Persons","3","Thousands",,,10103.41,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","2005","2005","PER","Persons","3","Thousands",,,10404.22,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","2006","2006","PER","Persons","3","Thousands",,,10632.72,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","2007","2007","PER","Persons","3","Thousands",,,10911.88,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","2008","2008","PER","Persons","3","Thousands",,,11205.63,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","2009","2009","PER","Persons","3","Thousands",,,11441.82,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","2010","2010","PER","Persons","3","Thousands",,,11628.23,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","2011","2011","PER","Persons","3","Thousands",,,11814.1,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","2012","2012","PER","Persons","3","Thousands",,,11976.4,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","2013","2013","PER","Persons","3","Thousands",,,12144.32,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","2014","2014","PER","Persons","3","Thousands",,,12286.8,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","2015","2015","PER","Persons","3","Thousands",,,12524.53,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","2016","2016","PER","Persons","3","Thousands",,,12698.14,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","2017","2017","PER","Persons","3","Thousands",,,12977.61,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","2018","2018","PER","Persons","3","Thousands",,,13288.11,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","2019","2019","PER","Persons","3","Thousands",,,13571.35,,
"AUS","Australia","YGFE07L1_ST","Labour force females","A","Annual","1978","1978","PER","Persons","3","Thousands",,,2339.101,,
"AUS","Australia","YGFE07L1_ST","Labour force females","A","Annual","1979","1979","PER","Persons","3","Thousands",,,2372.575,,
"AUS","Australia","YGFE07L1_ST","Labour force females","A","Annual","1980","1980","PER","Persons","3","Thousands",,,2481.659,,
"AUS","Australia","YGFE07L1_ST","Labour force females","A","Annual","1981","1981","PER","Persons","3","Thousands",,,2531.474,,
"AUS","Australia","YGFE07L1_ST","Labour force females","A","Annual","1982","1982","PER","Persons","3","Thousands",,,2577.045,,
"AUS","Australia","YGFE07L1_ST","Labour force females","A","Annual","1983","1983","PER","Persons","3","Thousands",,,2625.803,,
"AUS","Australia","YGFE07L1_ST","Labour force females","A","Annual","1984","1984","PER","Persons","3","Thousands",,,2708.13,,
"AUS","Australia","YGFE07L1_ST","Labour force females","A","Annual","1985","1985","PER","Persons","3","Thousands",,,2817.987,,
"AUS","Australia","YGFE07L1_ST","Labour force females","A","Annual","1986","1986","PER","Persons","3","Thousands",,,3001.563,,
"AUS","Australia","YGFE07L1_ST","Labour force females","A","Annual","1987","1987","PER","Persons","3","Thousands",,,3105.595,,
"AUS","Australia","YGFE07L1_ST","Labour force females","A","Annual","1988","1988","PER","Persons","3","Thousands",,,3229.976,,
"AUS","Australia","YGFE07L1_ST","Labour force females","A","Annual","1989","1989","PER","Persons","3","Thousands",,,3385.356,,
"AUS","Australia","YGFE07L1_ST","Labour force females","A","Annual","1990","1990","PER","Persons","3","Thousands",,,3511.121,,
"AUS","Australia","YGFE07L1_ST","Labour force females","A","Annual","1991","1991","PER","Persons","3","Thousands",,,3545.402,,
"AUS","Australia","YGFE07L1_ST","Labour force females","A","Annual","1992","1992","PER","Persons","3","Thousands",,,3588.375,,
"AUS","Australia","YGFE07L1_ST","Labour force females","A","Annual","1993","1993","PER","Persons","3","Thousands",,,3611.122,,
"AUS","Australia","YGFE07L1_ST","Labour force females","A","Annual","1994","1994","PER","Persons","3","Thousands",,,3714.802,,
"AUS","Australia","YGFE07L1_ST","Labour force females","A","Annual","1995","1995","PER","Persons","3","Thousands",,,3834.289,,
"AUS","Australia","YGFE07L1_ST","Labour force females","A","Annual","1996","1996","PER","Persons","3","Thousands",,,3904.658,,
"AUS","Australia","YGFE07L1_ST","Labour force females","A","Annual","1997","1997","PER","Persons","3","Thousands",,,3942.756,,
"AUS","Australia","YGFE07L1_ST","Labour force females","A","Annual","1998","1998","PER","Persons","3","Thousands",,,3997.81,,
"AUS","Australia","YGFE07L1_ST","Labour force females","A","Annual","1999","1999","PER","Persons","3","Thousands",,,4051.542,,
"AUS","Australia","YGFE07L1_ST","Labour force females","A","Annual","2000","2000","PER","Persons","3","Thousands",,,4176.508,,
"AUS","Australia","YGFE07L1_ST","Labour force females","A","Annual","2001","2001","PER","Persons","3","Thousands",,,4282.62,,
"AUS","Australia","YGFE07L1_ST","Labour force females","A","Annual","2002","2002","PER","Persons","3","Thousands",,,4357.187,,
"AUS","Australia","YGFE07L1_ST","Labour force females","A","Annual","2003","2003","PER","Persons","3","Thousands",,,4471.418,,
"AUS","Australia","YGFE07L1_ST","Labour force females","A","Annual","2004","2004","PER","Persons","3","Thousands",,,4511.404,,
"AUS","Australia","YGFE07L1_ST","Labour force females","A","Annual","2005","2005","PER","Persons","3","Thousands",,,4681.721,,
"AUS","Australia","YGFE07L1_ST","Labour force females","A","Annual","2006","2006","PER","Persons","3","Thousands",,,4800.993,,
"AUS","Australia","YGFE07L1_ST","Labour force females","A","Annual","2007","2007","PER","Persons","3","Thousands",,,4938.061,,
"AUS","Australia","YGFE07L1_ST","Labour force females","A","Annual","2008","2008","PER","Persons","3","Thousands",,,5083.037,,
"AUS","Australia","YGFE07L1_ST","Labour force females","A","Annual","2009","2009","PER","Persons","3","Thousands",,,5207.658,,
"AUS","Australia","YGFE07L1_ST","Labour force females","A","Annual","2010","2010","PER","Persons","3","Thousands",,,5284.923,,
"AUS","Australia","YGFE07L1_ST","Labour force females","A","Annual","2011","2011","PER","Persons","3","Thousands",,,5391.932,,
"AUS","Australia","YGFE07L1_ST","Labour force females","A","Annual","2012","2012","PER","Persons","3","Thousands",,,5479.015,,
"AUS","Australia","YGFE07L1_ST","Labour force females","A","Annual","2013","2013","PER","Persons","3","Thousands",,,5568.422,,
"AUS","Australia","YGFE07L1_ST","Labour force females","A","Annual","2014","2014","PER","Persons","3","Thousands",,,5657.377,,
"AUS","Australia","YGFE07L1_ST","Labour force females","A","Annual","2015","2015","PER","Persons","3","Thousands",,,5790.826,,
"AUS","Australia","YGFE07L1_ST","Labour force females","A","Annual","2016","2016","PER","Persons","3","Thousands",,,5911.28,,
"AUS","Australia","YGFE07L1_ST","Labour force females","A","Annual","2017","2017","PER","Persons","3","Thousands",,,6067.011,,
"AUS","Australia","YGFE07L1_ST","Labour force females","A","Annual","2018","2018","PER","Persons","3","Thousands",,,6235.236,,
"AUS","Australia","YGFE07L1_ST","Labour force females","A","Annual","2019","2019","PER","Persons","3","Thousands",,,6386.913,,
"AUS","Australia","YGMA07L1_ST","Labour force males","A","Annual","1978","1978","PER","Persons","3","Thousands",,,4106.283,,
"AUS","Australia","YGMA07L1_ST","Labour force males","A","Annual","1979","1979","PER","Persons","3","Thousands",,,4146.46,,
"AUS","Australia","YGMA07L1_ST","Labour force males","A","Annual","1980","1980","PER","Persons","3","Thousands",,,4211.221,,
"AUS","Australia","YGMA07L1_ST","Labour force males","A","Annual","1981","1981","PER","Persons","3","Thousands",,,4278.868,,
"AUS","Australia","YGMA07L1_ST","Labour force males","A","Annual","1982","1982","PER","Persons","3","Thousands",,,4332.772,,
"AUS","Australia","YGMA07L1_ST","Labour force males","A","Annual","1983","1983","PER","Persons","3","Thousands",,,4371.605,,
"AUS","Australia","YGMA07L1_ST","Labour force males","A","Annual","1984","1984","PER","Persons","3","Thousands",,,4426.938,,
"AUS","Australia","YGMA07L1_ST","Labour force males","A","Annual","1985","1985","PER","Persons","3","Thousands",,,4482.306,,
"AUS","Australia","YGMA07L1_ST","Labour force males","A","Annual","1986","1986","PER","Persons","3","Thousands",,,4586.049,,
"AUS","Australia","YGMA07L1_ST","Labour force males","A","Annual","1987","1987","PER","Persons","3","Thousands",,,4652.001,,
"AUS","Australia","YGMA07L1_ST","Labour force males","A","Annual","1988","1988","PER","Persons","3","Thousands",,,4744.485,,
"AUS","Australia","YGMA07L1_ST","Labour force males","A","Annual","1989","1989","PER","Persons","3","Thousands",,,4842.481,,
"AUS","Australia","YGMA07L1_ST","Labour force males","A","Annual","1990","1990","PER","Persons","3","Thousands",,,4932.498,,
"AUS","Australia","YGMA07L1_ST","Labour force males","A","Annual","1991","1991","PER","Persons","3","Thousands",,,4937.754,,
"AUS","Australia","YGMA07L1_ST","Labour force males","A","Annual","1992","1992","PER","Persons","3","Thousands",,,4963.558,,
"AUS","Australia","YGMA07L1_ST","Labour force males","A","Annual","1993","1993","PER","Persons","3","Thousands",,,4976.02,,
"AUS","Australia","YGMA07L1_ST","Labour force males","A","Annual","1994","1994","PER","Persons","3","Thousands",,,5034.831,,
"AUS","Australia","YGMA07L1_ST","Labour force males","A","Annual","1995","1995","PER","Persons","3","Thousands",,,5112.227,,
"AUS","Australia","YGMA07L1_ST","Labour force males","A","Annual","1996","1996","PER","Persons","3","Thousands",,,5165.783,,
"AUS","Australia","YGMA07L1_ST","Labour force males","A","Annual","1997","1997","PER","Persons","3","Thousands",,,5187.385,,
"AUS","Australia","YGMA07L1_ST","Labour force males","A","Annual","1998","1998","PER","Persons","3","Thousands",,,5227.73,,
"AUS","Australia","YGMA07L1_ST","Labour force males","A","Annual","1999","1999","PER","Persons","3","Thousands",,,5261.066,,
"AUS","Australia","YGMA07L1_ST","Labour force males","A","Annual","2000","2000","PER","Persons","3","Thousands",,,5321.978,,
"AUS","Australia","YGMA07L1_ST","Labour force males","A","Annual","2001","2001","PER","Persons","3","Thousands",,,5384.159,,
"AUS","Australia","YGMA07L1_ST","Labour force males","A","Annual","2002","2002","PER","Persons","3","Thousands",,,5458.078,,
"AUS","Australia","YGMA07L1_ST","Labour force males","A","Annual","2003","2003","PER","Persons","3","Thousands",,,5517.321,,
"AUS","Australia","YGMA07L1_ST","Labour force males","A","Annual","2004","2004","PER","Persons","3","Thousands",,,5592.008,,
"AUS","Australia","YGMA07L1_ST","Labour force males","A","Annual","2005","2005","PER","Persons","3","Thousands",,,5722.503,,
"AUS","Australia","YGMA07L1_ST","Labour force males","A","Annual","2006","2006","PER","Persons","3","Thousands",,,5831.723,,
"AUS","Australia","YGMA07L1_ST","Labour force males","A","Annual","2007","2007","PER","Persons","3","Thousands",,,5973.816,,
"AUS","Australia","YGMA07L1_ST","Labour force males","A","Annual","2008","2008","PER","Persons","3","Thousands",,,6122.598,,
"AUS","Australia","YGMA07L1_ST","Labour force males","A","Annual","2009","2009","PER","Persons","3","Thousands",,,6234.16,,
"AUS","Australia","YGMA07L1_ST","Labour force males","A","Annual","2010","2010","PER","Persons","3","Thousands",,,6343.306,,
"AUS","Australia","YGMA07L1_ST","Labour force males","A","Annual","2011","2011","PER","Persons","3","Thousands",,,6422.17,,
"AUS","Australia","YGMA07L1_ST","Labour force males","A","Annual","2012","2012","PER","Persons","3","Thousands",,,6497.384,,
"AUS","Australia","YGMA07L1_ST","Labour force males","A","Annual","2013","2013","PER","Persons","3","Thousands",,,6575.896,,
"AUS","Australia","YGMA07L1_ST","Labour force males","A","Annual","2014","2014","PER","Persons","3","Thousands",,,6629.424,,
"AUS","Australia","YGMA07L1_ST","Labour force males","A","Annual","2015","2015","PER","Persons","3","Thousands",,,6733.703,,
"AUS","Australia","YGMA07L1_ST","Labour force males","A","Annual","2016","2016","PER","Persons","3","Thousands",,,6786.857,,
"AUS","Australia","YGMA07L1_ST","Labour force males","A","Annual","2017","2017","PER","Persons","3","Thousands",,,6910.595,,
"AUS","Australia","YGMA07L1_ST","Labour force males","A","Annual","2018","2018","PER","Persons","3","Thousands",,,7052.871,,
"AUS","Australia","YGMA07L1_ST","Labour force males","A","Annual","2019","2019","PER","Persons","3","Thousands",,,7184.441,,
"AUS","Australia","YGTT08L1_ST","Employment","A","Annual","1978","1978","PER","Persons","3","Thousands",,,5987.125,,
"AUS","Australia","YGTT08L1_ST","Employment","A","Annual","1979","1979","PER","Persons","3","Thousands",,,6110.624,,
"AUS","Australia","YGTT08L1_ST","Employment","A","Annual","1980","1980","PER","Persons","3","Thousands",,,6284.27,,
"AUS","Australia","YGTT08L1_ST","Employment","A","Annual","1981","1981","PER","Persons","3","Thousands",,,6416.457,,
"AUS","Australia","YGTT08L1_ST","Employment","A","Annual","1982","1982","PER","Persons","3","Thousands",,,6414.892,,
"AUS","Australia","YGTT08L1_ST","Employment","A","Annual","1983","1983","PER","Persons","3","Thousands",,,6300.37,,
"AUS","Australia","YGTT08L1_ST","Employment","A","Annual","1984","1984","PER","Persons","3","Thousands",,,6493.854,,
"AUS","Australia","YGTT08L1_ST","Employment","A","Annual","1985","1985","PER","Persons","3","Thousands",,,6697.425,,
"AUS","Australia","YGTT08L1_ST","Employment","A","Annual","1986","1986","PER","Persons","3","Thousands",,,6974.489,,
"AUS","Australia","YGTT08L1_ST","Employment","A","Annual","1987","1987","PER","Persons","3","Thousands",,,7128.735,,
"AUS","Australia","YGTT08L1_ST","Employment","A","Annual","1988","1988","PER","Persons","3","Thousands",,,7398.242,,
"AUS","Australia","YGTT08L1_ST","Employment","A","Annual","1989","1989","PER","Persons","3","Thousands",,,7719.77,,
"AUS","Australia","YGTT08L1_ST","Employment","A","Annual","1990","1990","PER","Persons","3","Thousands",,,7858.817,,
"AUS","Australia","YGTT08L1_ST","Employment","A","Annual","1991","1991","PER","Persons","3","Thousands",,,7670.535,,
"AUS","Australia","YGTT08L1_ST","Employment","A","Annual","1992","1992","PER","Persons","3","Thousands",,,7634.416,,
"AUS","Australia","YGTT08L1_ST","Employment","A","Annual","1993","1993","PER","Persons","3","Thousands",,,7653.395,,
"AUS","Australia","YGTT08L1_ST","Employment","A","Annual","1994","1994","PER","Persons","3","Thousands",,,7899.284,,
"AUS","Australia","YGTT08L1_ST","Employment","A","Annual","1995","1995","PER","Persons","3","Thousands",,,8188.812,,
"AUS","Australia","YGTT08L1_ST","Employment","A","Annual","1996","1996","PER","Persons","3","Thousands",,,8298.891,,
"AUS","Australia","YGTT08L1_ST","Employment","A","Annual","1997","1997","PER","Persons","3","Thousands",,,8366.658,,
"AUS","Australia","YGTT08L1_ST","Employment","A","Annual","1998","1998","PER","Persons","3","Thousands",,,8517.424,,
"AUS","Australia","YGTT08L1_ST","Employment","A","Annual","1999","1999","PER","Persons","3","Thousands",,,8672.614,,
"AUS","Australia","YGTT08L1_ST","Employment","A","Annual","2000","2000","PER","Persons","3","Thousands",,,8901.732,,
"AUS","Australia","YGTT08L1_ST","Employment","A","Annual","2001","2001","PER","Persons","3","Thousands",,,9015.015,,
"AUS","Australia","YGTT08L1_ST","Employment","A","Annual","2002","2002","PER","Persons","3","Thousands",,,9190.267,,
"AUS","Australia","YGTT08L1_ST","Employment","A","Annual","2003","2003","PER","Persons","3","Thousands",,,9396.537,,
"AUS","Australia","YGTT08L1_ST","Employment","A","Annual","2004","2004","PER","Persons","3","Thousands",,,9558.361,,
"AUS","Australia","YGTT08L1_ST","Employment","A","Annual","2005","2005","PER","Persons","3","Thousands",,,9880.634,,
"AUS","Australia","YGTT08L1_ST","Employment","A","Annual","2006","2006","PER","Persons","3","Thousands",,,10124.23,,
"AUS","Australia","YGTT08L1_ST","Employment","A","Annual","2007","2007","PER","Persons","3","Thousands",,,10434.27,,
"AUS","Australia","YGTT08L1_ST","Employment","A","Annual","2008","2008","PER","Persons","3","Thousands",,,10731.17,,
"AUS","Australia","YGTT08L1_ST","Employment","A","Annual","2009","2009","PER","Persons","3","Thousands",,,10805.58,,
"AUS","Australia","YGTT08L1_ST","Employment","A","Annual","2010","2010","PER","Persons","3","Thousands",,,11022.24,,
"AUS","Australia","YGTT08L1_ST","Employment","A","Annual","2011","2011","PER","Persons","3","Thousands",,,11213.82,,
"AUS","Australia","YGTT08L1_ST","Employment","A","Annual","2012","2012","PER","Persons","3","Thousands",,,11350.8,,
"AUS","Australia","YGTT08L1_ST","Employment","A","Annual","2013","2013","PER","Persons","3","Thousands",,,11456.71,,
"AUS","Australia","YGTT08L1_ST","Employment","A","Annual","2014","2014","PER","Persons","3","Thousands",,,11540.16,,
"AUS","Australia","YGTT08L1_ST","Employment","A","Annual","2015","2015","PER","Persons","3","Thousands",,,11766.27,,
"AUS","Australia","YGTT08L1_ST","Employment","A","Annual","2016","2016","PER","Persons","3","Thousands",,,11973.09,,
"AUS","Australia","YGTT08L1_ST","Employment","A","Annual","2017","2017","PER","Persons","3","Thousands",,,12252.01,,
"AUS","Australia","YGTT08L1_ST","Employment","A","Annual","2018","2018","PER","Persons","3","Thousands",,,12584.06,,
"AUS","Australia","YGTT08L1_ST","Employment","A","Annual","2019","2019","PER","Persons","3","Thousands",,,12871.22,,
"AUS","Australia","YGFE08L1_ST","Employment females","A","Annual","1978","1978","PER","Persons","3","Thousands",,,2152.132,,
"AUS","Australia","YGFE08L1_ST","Employment females","A","Annual","1979","1979","PER","Persons","3","Thousands",,,2178.252,,
"AUS","Australia","YGFE08L1_ST","Employment females","A","Annual","1980","1980","PER","Persons","3","Thousands",,,2286.522,,
"AUS","Australia","YGFE08L1_ST","Employment females","A","Annual","1981","1981","PER","Persons","3","Thousands",,,2343.38,,
"AUS","Australia","YGFE08L1_ST","Employment females","A","Annual","1982","1982","PER","Persons","3","Thousands",,,2357.342,,
"AUS","Australia","YGFE08L1_ST","Employment females","A","Annual","1983","1983","PER","Persons","3","Thousands",,,2353.523,,
"AUS","Australia","YGFE08L1_ST","Employment females","A","Annual","1984","1984","PER","Persons","3","Thousands",,,2451.484,,
"AUS","Australia","YGFE08L1_ST","Employment females","A","Annual","1985","1985","PER","Persons","3","Thousands",,,2571.053,,
"AUS","Australia","YGFE08L1_ST","Employment females","A","Annual","1986","1986","PER","Persons","3","Thousands",,,2740.225,,
"AUS","Australia","YGFE08L1_ST","Employment females","A","Annual","1987","1987","PER","Persons","3","Thousands",,,2837.745,,
"AUS","Australia","YGFE08L1_ST","Employment females","A","Annual","1988","1988","PER","Persons","3","Thousands",,,2974.832,,
"AUS","Australia","YGFE08L1_ST","Employment females","A","Annual","1989","1989","PER","Persons","3","Thousands",,,3153.752,,
"AUS","Australia","YGFE08L1_ST","Employment females","A","Annual","1990","1990","PER","Persons","3","Thousands",,,3258.593,,
"AUS","Australia","YGFE08L1_ST","Employment females","A","Annual","1991","1991","PER","Persons","3","Thousands",,,3221.015,,
"AUS","Australia","YGFE08L1_ST","Employment females","A","Annual","1992","1992","PER","Persons","3","Thousands",,,3232.136,,
"AUS","Australia","YGFE08L1_ST","Employment females","A","Annual","1993","1993","PER","Persons","3","Thousands",,,3250.103,,
"AUS","Australia","YGFE08L1_ST","Employment females","A","Annual","1994","1994","PER","Persons","3","Thousands",,,3367.054,,
"AUS","Australia","YGFE08L1_ST","Employment females","A","Annual","1995","1995","PER","Persons","3","Thousands",,,3523.509,,
"AUS","Australia","YGFE08L1_ST","Employment females","A","Annual","1996","1996","PER","Persons","3","Thousands",,,3583.072,,
"AUS","Australia","YGFE08L1_ST","Employment females","A","Annual","1997","1997","PER","Persons","3","Thousands",,,3624.535,,
"AUS","Australia","YGFE08L1_ST","Employment females","A","Annual","1998","1998","PER","Persons","3","Thousands",,,3704.846,,
"AUS","Australia","YGFE08L1_ST","Employment females","A","Annual","1999","1999","PER","Persons","3","Thousands",,,3781.775,,
"AUS","Australia","YGFE08L1_ST","Employment females","A","Annual","2000","2000","PER","Persons","3","Thousands",,,3923.342,,
"AUS","Australia","YGFE08L1_ST","Employment females","A","Annual","2001","2001","PER","Persons","3","Thousands",,,4006.594,,
"AUS","Australia","YGFE08L1_ST","Employment females","A","Annual","2002","2002","PER","Persons","3","Thousands",,,4088.678,,
"AUS","Australia","YGFE08L1_ST","Employment females","A","Annual","2003","2003","PER","Persons","3","Thousands",,,4204.096,,
"AUS","Australia","YGFE08L1_ST","Employment females","A","Annual","2004","2004","PER","Persons","3","Thousands",,,4261.68,,
"AUS","Australia","YGFE08L1_ST","Employment females","A","Annual","2005","2005","PER","Persons","3","Thousands",,,4437.336,,
"AUS","Australia","YGFE08L1_ST","Employment females","A","Annual","2006","2006","PER","Persons","3","Thousands",,,4564.704,,
"AUS","Australia","YGFE08L1_ST","Employment females","A","Annual","2007","2007","PER","Persons","3","Thousands",,,4701.819,,
"AUS","Australia","YGFE08L1_ST","Employment females","A","Annual","2008","2008","PER","Persons","3","Thousands",,,4850.724,,
"AUS","Australia","YGFE08L1_ST","Employment females","A","Annual","2009","2009","PER","Persons","3","Thousands",,,4926.391,,
"AUS","Australia","YGFE08L1_ST","Employment females","A","Annual","2010","2010","PER","Persons","3","Thousands",,,5000.834,,
"AUS","Australia","YGFE08L1_ST","Employment females","A","Annual","2011","2011","PER","Persons","3","Thousands",,,5105.946,,
"AUS","Australia","YGFE08L1_ST","Employment females","A","Annual","2012","2012","PER","Persons","3","Thousands",,,5187.249,,
"AUS","Australia","YGFE08L1_ST","Employment females","A","Annual","2013","2013","PER","Persons","3","Thousands",,,5256.074,,
"AUS","Australia","YGFE08L1_ST","Employment females","A","Annual","2014","2014","PER","Persons","3","Thousands",,,5308.238,,
"AUS","Australia","YGFE08L1_ST","Employment females","A","Annual","2015","2015","PER","Persons","3","Thousands",,,5439.183,,
"AUS","Australia","YGFE08L1_ST","Employment females","A","Annual","2016","2016","PER","Persons","3","Thousands",,,5569.702,,
"AUS","Australia","YGFE08L1_ST","Employment females","A","Annual","2017","2017","PER","Persons","3","Thousands",,,5723.188,,
"AUS","Australia","YGFE08L1_ST","Employment females","A","Annual","2018","2018","PER","Persons","3","Thousands",,,5903.633,,
"AUS","Australia","YGFE08L1_ST","Employment females","A","Annual","2019","2019","PER","Persons","3","Thousands",,,6060.786,,
"AUS","Australia","YGFE08PE_ST","Employment females as % of employment ","A","Annual","1978","1978","PC","Percentage","0","Units",,,35.94601,,
"AUS","Australia","YGFE08PE_ST","Employment females as % of employment ","A","Annual","1979","1979","PC","Percentage","0","Units",,,35.64698,,
"AUS","Australia","YGFE08PE_ST","Employment females as % of employment ","A","Annual","1980","1980","PC","Percentage","0","Units",,,36.38485,,
"AUS","Australia","YGFE08PE_ST","Employment females as % of employment ","A","Annual","1981","1981","PC","Percentage","0","Units",,,36.5214,,
"AUS","Australia","YGFE08PE_ST","Employment females as % of employment ","A","Annual","1982","1982","PC","Percentage","0","Units",,,36.74796,,
"AUS","Australia","YGFE08PE_ST","Employment females as % of employment ","A","Annual","1983","1983","PC","Percentage","0","Units",,,37.35531,,
"AUS","Australia","YGFE08PE_ST","Employment females as % of employment ","A","Annual","1984","1984","PC","Percentage","0","Units",,,37.75083,,
"AUS","Australia","YGFE08PE_ST","Employment females as % of employment ","A","Annual","1985","1985","PC","Percentage","0","Units",,,38.38868,,
"AUS","Australia","YGFE08PE_ST","Employment females as % of employment ","A","Annual","1986","1986","PC","Percentage","0","Units",,,39.28925,,
"AUS","Australia","YGFE08PE_ST","Employment females as % of employment ","A","Annual","1987","1987","PC","Percentage","0","Units",,,39.80714,,
"AUS","Australia","YGFE08PE_ST","Employment females as % of employment ","A","Annual","1988","1988","PC","Percentage","0","Units",,,40.20999,,
"AUS","Australia","YGFE08PE_ST","Employment females as % of employment ","A","Annual","1989","1989","PC","Percentage","0","Units",,,40.85293,,
"AUS","Australia","YGFE08PE_ST","Employment females as % of employment ","A","Annual","1990","1990","PC","Percentage","0","Units",,,41.46416,,
"AUS","Australia","YGFE08PE_ST","Employment females as % of employment ","A","Annual","1991","1991","PC","Percentage","0","Units",,,41.99205,,
"AUS","Australia","YGFE08PE_ST","Employment females as % of employment ","A","Annual","1992","1992","PC","Percentage","0","Units",,,42.33639,,
"AUS","Australia","YGFE08PE_ST","Employment females as % of employment ","A","Annual","1993","1993","PC","Percentage","0","Units",,,42.46616,,
"AUS","Australia","YGFE08PE_ST","Employment females as % of employment ","A","Annual","1994","1994","PC","Percentage","0","Units",,,42.62479,,
"AUS","Australia","YGFE08PE_ST","Employment females as % of employment ","A","Annual","1995","1995","PC","Percentage","0","Units",,,43.02832,,
